geo_label_citystate,People w/ Disabilities,Adult Physical Inactivity,Life Expectancy,Homicides,Violent Crime,Unemployment,Public Assistance,Service Workers,Excessive Housing Cost,Income Inequality,Racial Seg W/NW,Limited Internet Access,College Graduates,Renters vs Owners,Longer Summers,Poor Air Quality,Longer Driving Commute,Walking to Work,Riding Bike to Work,Limited Supermarket Access,Foreign Born Pop,Per-capita HH Income,Population Density,Uninsured All Ages,Transit
"Philadelphia, PA",17.43103314,31.5,76.35653548,24.1870074,908.6807367,8.402846337,27.50731446,37.98897904,30.52574482,0.5152,57.20717135,24.50124282,34.63927807,0.911292879,42.10833333,33.15068493,51.97368226,7.482869813,1.882970608,22.97037831,14.58470253,37669.0,11777.86213,7.17017111,17.87728293
"Phoenix, AZ",11.46601406,26.7,80.55756734,7.539561717,698.9309075,5.10365982,12.56457881,38.88586452,25.82453853,0.4694,47.7285633,23.41696932,32.33397023,0.7514598,56.55,81.91780822,36.3204824,1.56559268,0.437986592,49.71560018,19.03673734,40309.0,3134.740779,14.49370033,2.036095712
"Portland, OR",13.15518466,19.9,78.59800978,4.844904422,544.6192045,5.534125166,16.39340835,28.10850163,29.71048322,0.4768,24.39497925,18.71413184,53.46684646,0.892289233,13.66666667,12.05479452,30.3690839,4.77321308,3.708344263,35.34732254,12.42432493,55312.0,4814.769751,5.495564832,7.276045475
"San Antonio, TX",15.51461081,29.8,77.19647692,8.775866044,708.4556744,5.837588328,16.85852636,41.24865256,29.18962625,0.4619,38.3758673,22.86655595,28.70390259,0.90836831,30.9,46.30136986,32.55285753,1.708240624,0.238947772,65.83908842,14.3342422,32983.0,2924.212417,17.5484333,2.085895361
"San Diego, CA",10.01267304,20.9,82.96687572,2.816652854,361.7164573,5.859167346,10.33331674,29.81131433,33.93744278,0.463,43.90516549,16.51587788,49.86191239,1.102079349,26.90833333,76.16438356,29.83267801,3.406964557,0.716100463,32.99915428,24.75125644,54678.0,4247.519091,6.270201161,2.984986583
"San Francisco, CA",11.2001913,19.0,83.25246903,4.463161057,669.6335356,5.624034281,11.3768096,21.3002561,26.54680822,0.5181,33.90614845,26.91323675,60.12076421,1.597593296,1.0,14.24657534,47.62710617,9.961045719,3.28804468,10.63036177,34.21939662,90285.0,17908.48553,3.458986865,21.42443312
"San Jose, CA",9.62987674,22.1,83.51475433,3.187154418,438.3620126,4.66518664,9.436387395,32.67864837,28.52950267,0.4596,42.53991114,18.35160681,46.50154575,0.787350538,4.0,25.75342466,41.44186417,1.761957343,0.540798788,31.92225428,41.58581249,63253.0,5564.018996,4.901785823,2.820757317
"Seattle, WA",10.03123845,14.9,83.52053533,3.372521961,585.4347092,4.223564627,9.204320447,19.78162322,26.4405032,0.4878,30.9602462,20.15717531,67.51127587,1.260131631,13.75,23.28767123,37.1322336,8.255779911,2.500266151,27.53257637,19.94483707,82508.0,8826.622156,4.365905779,13.87910538
"Tucson, AZ",15.51566061,25.1,74.19343114,9.630711319,688.3987935,6.375034419,17.10077967,40.23865637,29.55640952,0.4565,39.7559496,19.49107343,30.17488589,0.935901405,53.1,38.35616438,26.26984216,2.65677807,1.620978846,55.47136849,13.65276029,31152.0,2243.501552,10.98753315,2.364970585
"Washington, DC",10.95165411,19.6,78.9731609,20.19124405,977.1179272,6.483062157,14.19441715,16.63740879,26.85690828,0.5144,54.81398198,27.40854464,63.56362225,1.430726899,23.26666667,33.69863014,48.75791947,10.03748811,3.279057349,35.16094146,13.32849263,75253.0,10994.93677,3.41395506,22.28685585
